label,video_url,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem
ABOCANHAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abocanharSm_Prog001.mp4,True,A,NENHUM,"Apanhar, pegar com a boca; morder.",O jacaré abocanhou a cobra.,JACARÉ COBRA ABOCANHAR.,VERBO,Nacional
ABOLIÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abolicaoSm_Prog001.mp4,True,A,NENHUM,Revogação ou anulação de uma lei ou ordem.,"Antigamente os escravos negros sofriam. Mais tarde, conseguiram a abolição da escravatura.",ANTIGAMENTE NEGR@ SOFRER ESCRAV@-ABOLIÇÃO CONSEGUIR.,SUBSTANTIVO,Nacional
ABONAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonarSm_Prog001.mp4,True,A,NENHUM,Justificar; não descontar.,Meu chefe abonou minha falta e amanhã vou ter folga.,FALTA CHEFE 3sABONAR1s. AMANHÃ FOLGAR.,VERBO,Nacional
ABONO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonoSm_Prog001.mp4,True,A,NENHUM,Fiança; garantia; quantia adiantada por conta de um futuro vencimento.,"No BANERJ não tem abono, só paga o salário.",B-A-N-C-O B-A-N-E-R-J TER-NÃO ABON@ SÓ SALÁRIO.,SUBSTANTIVO,Nacional
ABORRECER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecerSm_Prog001.mp4,True,A,NENHUM,Sentir ou provocar aborrecimento; constranger; amolar.,Não vale a pena se aborrecer.,ABORRECER BO@ NÃO.,VERBO,Nacional
ABORRECIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,True,A,SENTIMENTOS,"Ser tomado por um sentimento negativo, que expressa contrariedade.",Ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ONTEM ROUBAR ME@ CACHORR@ ABORRECID@muito.,ADJETIVO,Nacional
ABORTAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,True,A,NENHUM,"Sofrer a perda do feto, prematuramente e por vontade própria; não cumprir todo o período de gestação.","No Brasil, a mulher grávida só pode abortar em caso de problema de saúde.",BRASIL MULHER-GRÁVIDA PODER ABORTAR S-Ó PROBLEMA SAÚDE.,VERBO,Nacional
ABORTAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar2Sm_Prog001.mp4,True,A,NENHUM,"Expulsão prematura do feto por causas naturais, como acidentes e doenças.","Minha esposa caiu e abortou; fiquei triste, porque queria um filho.",ESPOS@ M@ pessoaCAIRchão ABORTAR EU TRISTE QUERER FILH@.,VERBO,Nacional
ABORTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,True,A,HIGIENE/SAÚDE,Expulsão prematura do feto.,A igreja proibe o aborto.,ABORTO IGREJA PROIBIR.,SUBSTANTIVO,Nacional
ABOTOAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abotoarSm_Prog001.mp4,True,A,NENHUM,"Enfiar os botões nas aberturas correspondentes, ou casas, para fechar uma ou mais peças do vestuário.",Você se esqueceu de abotoar a camisa do seu filho!,CAMISA SE@ FILH@ ABOTOAR ESQUECER!,VERBO,Nacional
ABRACADABRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracadabraSm_Prog001.mp4,True,A,ESPORTE/DIVERSÃO,"Expressão comum nas estórias infantis, no teatro e nas apresentações de mágicos, para expressar poderes sobrenaturais.",Eu sei fazer ABRACADABRA e transformar um ovo em pinto!,EU SABER O-V-O ABRACADABRA TRANSFORMAR PINTO.,SUBSTANTIVO,Nacional
ABRAÇAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracarSm_Prog001.mp4,True,A,NENHUM,"Envolver uma pessoa com os braços, aproximando-se dela.",Ela abraçou o seu filho.,EL@ ABRAÇAR FILH@ DEL@.,VERBO,Nacional
ABRAÇO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracoSm_Prog001.mp4,True,A,NENHUM,Situação em que duas pessoas se abraçam; demonstração de afeto.,Diga a sua esposa que mandei um abraço.,FALAR ABRAÇO ESPOS@ SE@.,SUBSTANTIVO,Nacional
ABRAÇO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abraco2Sm_Prog001.mp4,True,A,NENHUM,"Ato de envolver alguém com os braços, para fazer uma saudação ou uma manifestação de carinho.",Um bom abraço é gostoso.,ABRAÇO BO@ GOSTOS@.,SUBSTANTIVO,Nacional
ABREVIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abreviarSm_Prog001.mp4,True,A,NENHUM,Encurtar; reduzir; usar menos tempo.,Você fará a palestra no congresso de amanhã? Precisa abreviar.,AMANHÃ CONGRESSO VOCÊ PALESTRA? PRECISAR ABREVIAR.,VERBO,Nacional
ABRIDOR DE LATA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata1Sm_Prog001.mp4,False,A,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Eu abri a lata de tomate e ele estava podre.,EU ABRIDOR-DE-LATA-ABRIR TOMATE PODRE.,SUBSTANTIVO,Nacional
ABRIDOR DE LATA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata2Sm_Prog001.mp4,False,A,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Fui convidada pela empresa Arno para assistir ao lançamento do novo abridor de latas automático.,EMPRESA A-R-N-O 3sCONVIDAR1s ASSISTIR LANÇAMENTO ABRIDOR-DE-LATA NOV@ AUTOMÁTIC@.,SUBSTANTIVO,Nacional
ABRIGAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigarSm_Prog001.mp4,True,A,NENHUM,"Proteger contra os perigos, o frio ou a chuva.",Meu cunhado construir um teto para abrigar o carro.,ME@ CUNHAD@ CONSTRUIR TETO CARRO veículoABRIGAR.,VERBO,Nacional
ABRIGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigoSm_Prog001.mp4,True,A,NENHUM,"Proteção contra os perigos, a chuva, o frio, o calor.","Nós dois vamos procurar um abrigo, pois vai chover forte.",V-A-I CHOVER FORTE NÓS-2 PROCURAR ABRIGO.,SUBSTANTIVO,Nacional
ABRIL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrilSm_Prog001.mp4,True,A,ANO SIDERAL,"Quarto mês do calendário anual, seguinte ao mês de março e anterior ao de maio. Tem 30 dias.",Eu nasci no mês de abril.,EU NASCER ABRIL.,SUBSTANTIVO,Nacional
ABRIR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir1Sm_Prog001.mp4,True,A,NENHUM,Remover o obstáculo que impede a passagem de uma substância através do gargalo.,Eu abri a garrafa e bebi a água muito gelada.,EU ABRIR-GARRAFA ÁGUA BEBER GELAD@muito.,VERBO,Nacional
ABRIR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir2Sm_Prog001.mp4,True,A,NENHUM,Mover e separar as partes juntas para dar passagem à claridade e ao ar; liberar a entrada e a saída de ar e luz.,"Por favor, abra a janela da sala!",FAVOR JANELA S-A-L-A ABRIR!,VERBO,Nacional
ABRIR3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir3Sm_Prog001.mp4,True,A,NENHUM,Separar as partes de mantêm a porta fechada; dar passagem; permitir a entrada e a saída de pessoas e objetos.,Não consigo abrir esta porta!,PORTA EST@ CONSEGUIR-NÃO ABRIR!,VERBO,Nacional
ABRIR4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir4Sm_Prog001.mp4,True,A,NENHUM,"Retirar a peça que veda potes, vidros, garrafas e similares.",Não abra esta tampa porque está enferrujada!,TAMPA-ABRIR NÃO EVITAR ENFERRUJAD@!,VERBO,Nacional
ABRIR5,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir5Sm_Prog001.mp4,True,A,NENHUM,Separar as pálpebras; estar pronto para olhar.,"Cinco horas depois da operação do coração, Mauro abriu os olhos.",M-A-U-R-O CORAÇÃO peitoOPERAR HORA 5 DEPOIS ABRIR-OLHO.,VERBO,Nacional
ABSOLVER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absolverSm_Prog001.mp4,True,A,NENHUM,Perdoar; retirar a culpa.,O juiz absolveu o ladrão por falta de provas.,FALTAR PROVA LADRÃ@ JUIZ ABSOLVER.,VERBO,Nacional
ABSORVENTE HIGIÊNICO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorvente-higienicoSm_Prog001.mp4,False,A,HIGIENE/SAÚDE,Produto utilizado pelas mulheres no período de menstruação.,Eu vou à farmácia comprar um absorvente higiênico.,EU COMPRAR ABSORVENTE-HIGIÊNICO FARMÁCIA.,SUBSTANTIVO,Nacional
ABSORVER1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver1Sm_Prog001.mp4,True,A,NENHUM,Recolher o líquido existente em uma superfície.,"Tem muita água no chão, pegue uma esponja para absorver.",CHÃO ÁGUA ESPARRAMAR! PEGAR ESPONJA ABSORVER.,VERBO,Nacional
ABSORVER2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver2Sm_Prog001.mp4,True,A,NENHUM,Receber e elaborar uma informação; compreender.,Não consegui absorver a aula de História.,AULA HISTORIA ABSORVER CONSEGUIR NÃO.,VERBO,Nacional
ABSTER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absterSm_Prog001.mp4,True,A,NENHUM,Refrear-se; conter-se; afastar-se do consumo de algum alimento.,Meu tio resolveu abster-se de doces para emagrecer.,TI@ ME@ EMAGRECER DOCE+ ABSTER.,VERBO,Nacional
ABSURDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,True,A,NENHUM,Além do aceitável; incrível.,"O governo cobra IPTU alto, que absurdo!",GOVERNO I-P-T-U COBRAR ABSURDOmuito!,ADJETIVO,Nacional
ABUSADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abusadoSm_Prog001.mp4,True,A,NENHUM,Atrevido; sem respeito aos limites.,"Ele é muito abusado, não tem educação.",EL@ ABUSAD@ EDUCAÇÃO TER-NÃO.,ADJETIVO,Nacional
ABUSAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abusarSm_Prog001.mp4,True,A,NENHUM,Aproveitar-se; tirar vantagem.,Ele abusa de você!,EL@ ABUSAR VOCÊ!,VERBO,Nacional
ACABAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar1Sm_Prog001.mp4,True,A,NENHUM,Terminar; concluir; finalizar.,Já acabei o texto e estou aliviado.,TEXTO PREPARAR ACABAR ALIVIAD@<brrrru>.,VERBO,Nacional
ACABAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar2Sm_Prog001.mp4,True,A,NENHUM,Chegar ao final; concluir; encerrar.,"A novela acabou e, agora, vou dormir.Tchau!",NOVELA ACABAR IR<vou> DORMIR TCHAU.,VERBO,Nacional
ACABAR3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar3Sm_Prog001.mp4,True,A,NENHUM,Deixar de acontecer; terminar.,"A aula já acabou, pode ir para casa.",AULA ACABAR PODER IR CASA.,VERBO,Nacional
ACABAR4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar4Sm_Prog001.mp4,True,A,NENHUM,Esgotar; não mais existir.,A água acabou. É preciso comprar novamente.,ÁGUAR ACABAR PRECISAR COMPRAR OUTRA-VEZ.,VERBO,Nacional
AÇAÍ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acaiSm_Prog001.mp4,True,A,FRUTA,"Fruta que vem de uma palmeira. É consumida ao natural e utilizada para fazer doces, sorvetes e sucos.",Eu bebo um copo cheio de suco de açaí. É forte e saudável.,AÇAÍ BEBER-CORPO-INTEIRO FORTE SAÚDE.,SUBSTANTIVO,Nacional
ACALENTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalentarSm_Prog001.mp4,True,A,NENHUM,"Com a criança nos braços, fazer movimentos suaves para um lado e para outro do corpo, geralmente cantando, para que ela durma.",O bebê estava chorando e eu o acalantei.,BEBÊ CHORARcontinuativo EU ACALENTAR.,VERBO,Nacional
ACALMAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalmar1Sm_Prog001.mp4,True,A,NENHUM,"Recuperar ou manter a tranqüilidade, a serenidade.",Eu tomo remédio para me acalmar.,EU TOMAR-REMÉDIO ACALMAR.,VERBO,Nacional
ACALMAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalmar2Sm_Prog001.mp4,True,A,NENHUM,Tranqüilizar; fazer com que alguém se acalme.,"É bom você se acalmar, você estudou muito!",VOCÊ BO@ ACALMAR! VOCÊ ESTUDARmuito!,VERBO,Nacional
ACAMPAMENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acampamentoSm_Prog001.mp4,True,A,ESPORTE/DIVERSÃO,"Terreno ou clube, onde as casas são trocadas por barracas e geralmente freqüentado por pessoas que buscam contato com a natureza.",Eu vi que na Barra tem muitos lugares bonitos para acampamento.,EU VER JÁ B-A-R-R-A TER ACAMPAMENTO+ BONIT@.,SUBSTANTIVO,Nacional
ACAMPAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acamparSm_Prog001.mp4,True,A,NENHUM,"Instalar-se em um acampamento ou em espaços naturais improvisados, usando barracas.","Eu não quero acampar aqui, é perigoso. Melhor outro lugar.",ACAMPAR EU AQUI QUERER-NÃO PERIGOS@ MELHOR OUTR@.,VERBO,Nacional
ACANHADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acanhadoSm_Prog001.mp4,True,A,NENHUM,"Tímido; envergonhado; pessoa recatada, com certa dificuldade ou resistência para se relacionar.",Meu irmão é muito acanhado.,ME@ IRM@ ACANHAD@muito.,ADJETIVO,Nacional
ACARICIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acariciarSm_Prog001.mp4,True,A,NENHUM,Fazer carícias; afagar; acarinhar.,Eu gosto de acariciar o bebê.,EU GOSTAR ACARICIAR BEBÊ.,VERBO,Nacional
ACASALAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acasalarSm_Prog001.mp4,True,A,NENHUM,Ato em que macho e fêmea se juntam para a procriação.,Meu cachorro e a cadela dele vão ficar juntos para acasalar.,CACHORRO ME@ DEL@ JUNT@ AMANHÃ ACASALAR.,VERBO,Nacional
ACATAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acatarSm_Prog001.mp4,True,A,NENHUM,Cumprir; aceitar; respeitar.,Eu acatei o que o professor me aconselhou.,EU ACATAR PROFESSOR@ 3sACONSELHAR1s.,VERBO,Nacional
ACAUTELAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acautelarSm_Prog001.mp4,True,A,NENHUM,Prevenir; tomar cuidado.,Você recebeu o salário em dinheiro? Acautele-se e esconda-o no sapato.,VOCÊ RECEBER JÁ SÁLARIO DINHEIRO? OLHAR JÁ ESCONDER SAPATO.,VERBO,Nacional
ACEITAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aceitarSm_Prog001.mp4,True,A,NENHUM,Atender a um convite; receber uma gentileza.,Hoje meu amigo me convidou para jantar e eu aceitei.,AMIG@ 3sCONVIDAR1s JANTAR HOJE EU ACEITAR.,VERBO,Nacional
ACELERAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acelerar1Sm_Prog001.mp4,True,A,NENHUM,"Pressionar o pedal do acelerador de um veículo, aumentando sua velocidade.","Ontem o motorista do ônibus acelerou tanto, que eu quase caí.",ONTEM ÔNIBUS MOTORISTA ACELERAR EU QUASE pessoaCAIR.,VERBO,Nacional
ACELERAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acelerar2Sm_Prog001.mp4,True,A,NENHUM,Apressar; aumentar o ritmo.,"O chefe não gosta que o trabalho atrase, você precisa trabalhar e acelerar sua produção.","CHEFE GOSTAR-NÃO TRABALHO ATRASAR, VOCÊ PRECISAR PRODUÇÃO ACELERAR TRABALHAR.",VERBO,Nacional
ACENAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acenarSm_Prog001.mp4,True,A,NENHUM,"Agitar uma ou as duas mãos, em um gesto de cumprimento.","Uma linda mulher passou e acenou, eu fiquei louco.",MULHER LIND@muito ANDAR ACENAR EU LOUC@!,VERBO,Nacional
ACENDER FAROL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acender3Sm_Prog001.mp4,True,A,NENHUM,"Acionar, no painel do carro, o botão que regula a ligação dos faróis.","Por favor, não acenda o farol do carro.",FAVOR ACENDER-FAROL CARRO NÃO.,VERBO,Nacional
ACENDER ISQUEIRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acender4Sm_Prog001.mp4,True,A,NENHUM,Provocar o atrito da pedra que provoca a chama.,Não consigo acender o cigarro com esse isqueiro!,CIGARRO ISQUEIRO-ACENDER CONSEGUIR-NÃO!,VERBO,Nacional
ACENDER LUZ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acender2Sm_Prog001.mp4,True,A,NENHUM,"Fazer a luz iluminar; pressionar ou girar o interruptor instalado na parede, envolto em uma pequena placa de plástico ou material similar.","Por favor, acenda a luz do meu quarto.",POR-FAVOR QUARTO ME@ ACENDER-LUZ.,VERBO,Nacional
ACENDER VELA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acender1Sm_Prog001.mp4,True,A,NENHUM,Pôr fogo; queimar; fazer arder.,Você acendeu a vela com o fósforo?,VOCÊ FÓSFORO ACENDER-VELA JÁ?,VERBO,Nacional
ACENTO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acento1Sm_Prog001.mp4,True,A,NENHUM,Sinal incorporado à grafia de certas palavras.,Você esqueceu de colocar o acento circunflexo na palavra você.,VOCÊ ESQUECER V-O-C-E ^ NÃO.,SUBSTANTIVO,Nacional
ACENTO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acento2Sm_Prog001.mp4,True,A,NENHUM,"Sinal que dá maior intensidade a uma sílaba, em relação às que estão próximss dela.",Você não colocou acento agudo em vovo,VOCÊ COLOCAR-NÃO V-O-V-O ´.,SUBSTANTIVO,Nacional
