label,video_url,signer_number,scraped_label,scraped_video_url,sign_variant,signer_number,video_url_root,video_url_ext,number_in_label
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,1,ABSURDO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,4,1,videos,mp4,True
ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,1,ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,1,1,videos,mp4,False
ACADÊMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,1,ACADÊMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,1,1,videos,mp4,False
AÇAÍ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,1,AÇAÍ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,1,1,videos,mp4,False
ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,1,ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,1,1,videos,mp4,False
ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,1,ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,1,1,videos,mp4,False
ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,1,ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,1,1,videos,mp4,False
ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,1,ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,1,1,videos,mp4,False
ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,1,ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,1,1,videos,mp4,False
ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,1,ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,1,1,videos,mp4,False
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,1,ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,1,1,videos,mp4,False
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,1,ACHAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,2,1,videos,mp4,True
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,1,ACHAR-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,3,1,videos,mp4,True
ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,1,ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,1,1,videos,mp4,False
ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,1,ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,1,1,videos,mp4,False
ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,1,ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,1,1,videos,mp4,False
ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,1,ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,1,1,videos,mp4,False
ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,1,ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,1,1,videos,mp4,False
ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,1,ACONTECER-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,2,1,videos,mp4,True
ACORDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,1,ACORDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,1,1,videos,mp4,False
ACOSTUMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,1,ACOSTUMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,1,1,videos,mp4,False
ACRE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,1,ACRE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,1,1,videos,mp4,False
ACREDITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,1,ACREDITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,1,1,videos,mp4,False
ACRESCENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,1,ACRESCENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,1,1,videos,mp4,False
ADAPTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,1,ADAPTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,1,1,videos,mp4,False
ADIANTAR-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,1,ADIANTAR-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,1,1,videos,mp4,False
ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,1,ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,1,1,videos,mp4,False
ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,1,ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,1,1,videos,mp4,False
ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,1,ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,1,1,videos,mp4,False
ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,1,ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,1,1,videos,mp4,False
ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,1,ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,1,1,videos,mp4,False
ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,1,ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,1,1,videos,mp4,False
ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,1,ADOTAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,2,1,videos,mp4,True
ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,1,ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,1,1,videos,mp4,False
ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,1,ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,1,1,videos,mp4,False
ADULTÉRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,1,ADULTÉRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,1,1,videos,mp4,False
ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,1,ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,1,1,videos,mp4,False
ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,1,ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,1,1,videos,mp4,False
AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,1,AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,1,1,videos,mp4,False
AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,1,AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,1,1,videos,mp4,False
AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,1,AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,1,1,videos,mp4,False
AFEGANISTÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,1,AFEGANISTÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,1,1,videos,mp4,False
AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,1,AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,1,1,videos,mp4,False
AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,1,AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,1,1,videos,mp4,False
ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,1,ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,1,1,videos,mp4,False
ÁFRICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,1,ÁFRICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,1,1,videos,mp4,False
ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,1,ÁFRICA-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,2,1,videos,mp4,True
AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,1,AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,1,1,videos,mp4,False
AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,1,AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,1,1,videos,mp4,False
AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,1,AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,1,1,videos,mp4,False
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,1,AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,1,1,videos,mp4,False
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,1,AGOSTO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,2,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,1,AGOSTO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,3,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,1,AGOSTO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,4,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,1,AGOSTO-5,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,5,1,videos,mp4,True
AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,1,AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,1,1,videos,mp4,False
AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,1,AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,1,1,videos,mp4,False
AGRESSÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,1,AGRESSÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,1,1,videos,mp4,False
ÁGUA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,1,ÁGUA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,1,1,videos,mp4,False
AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,1,AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,1,1,videos,mp4,False
ÁGUIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,1,ÁGUIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,1,1,videos,mp4,False
AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,1,AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,1,1,videos,mp4,False
AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,1,AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,1,1,videos,mp4,False
AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,1,AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,1,1,videos,mp4,False
AINDA-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,1,AINDA-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,1,1,videos,mp4,False
AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,1,AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,1,1,videos,mp4,False
ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,1,ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,1,1,videos,mp4,False
ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,1,ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,1,1,videos,mp4,False
ALBÂNIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,1,ALBÂNIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,1,1,videos,mp4,False
ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,1,ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,1,1,videos,mp4,False
ÁLBUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,1,ÁLBUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,1,1,videos,mp4,False
ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,1,ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,1,1,videos,mp4,False
ÁLCOOL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,1,ÁLCOOL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,1,1,videos,mp4,False
ALEATÓRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,1,ALEATÓRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,1,1,videos,mp4,False
ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,1,ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,1,1,videos,mp4,False
ALÉM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,1,ALÉM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,1,1,videos,mp4,False
ALEMANHA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ALEMANHA.mp4,2,ALEMANHA,https://levantelab.storage.googleapis.com/libras/gerais/VcPz76GzvtdL2wIvfwkrq6YAknZIS6fXcR3jL8Xj.mp4,1,2,levantelab,mp4,False
ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,1,ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,1,1,videos,mp4,False
ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,1,ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,1,1,videos,mp4,False
ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,1,ALFACE-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,2,1,videos,mp4,True
ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,1,ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,1,1,videos,mp4,False
ALGODÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,1,ALGODÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,1,1,videos,mp4,False
ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,1,ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,1,1,videos,mp4,False
ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,1,ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,1,1,videos,mp4,False
ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,1,ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,1,1,videos,mp4,False
ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,1,ALHO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,2,1,videos,mp4,True
ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,1,ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,1,1,videos,mp4,False
ALMOÇAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,1,ALMOÇAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,1,1,videos,mp4,False
ALOFONE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALOFONE.mp4,1,ALOFONE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALOFONE.mp4,1,1,videos,mp4,False
ALONGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALONGAR.mp4,1,ALONGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALONGAR.mp4,1,1,videos,mp4,False
ALTERNÂNCIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTERN%C3%82NICA.mp4,1,ALTERNÂNCIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTERN%C3%82NICA.mp4,1,1,videos,mp4,False
